type,phrase,context,position,comment_id,stakeholder,comment_type
guidance,homologous	use,"...ents to the docket, including comments previously submitted related to minimal manipulation and homologous use. As part of its recent draft guidance document titled Homologous Use of Human Cells, Tissues, and...",9298,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...d to minimal manipulation and homologous use. As part of its recent draft guidance document titled Homologous Use of Human Cells, Tissues, and Cellular and Tissue-Based Products: Draft Guidance for Industry and F...",9368,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...ular and Tissue-Based Products: Draft Guidance for Industry and FDA Staff, the FDA noted that “[a] homologous use for a cellular or nonstructural tissue would generally be a metabolic or biochemical function in th...",9516,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...mune, and endocrine functions”.1 In general, while there may be tissue products which present such homologous uses, for allograft HCT/Ps, it is difficult to retain the 361 HCT/P designation due to the fourth key “...",9769,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...mary function”). Especially for allograft products containing only cells, given the aforementioned homologous uses, it is difficult to delinate cellular only tissue products which would not be dependent upon...",10129,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...e, skin for burns and amnionic membrane that contain viable or non-viable cells. (7) How does the homologous use relate to minimal manipulation? As noted in the flow diagram below (Diagram A), the manuf...",16488,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	 use,...manufacturer’s objective intent (including the associated claims) delineate the particular homologous uses of the HCT/P. Those homologous uses describe the basic function or functions relevant to s...,16696,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	 use,...ng the associated claims) delineate the particular homologous uses of the HCT/P. Those homologous uses describe the basic function or functions relevant to such HCT/P. To ascertain whether a HCT/P is...,16740,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	 use,"...tions.gov/document?D=FDA-2013-D-0350-0038 Page 6 manufacturer’s objective intent defines the homologous use of a HCT/P, which then delineates what appropriate processes may be considered minimal manip...",17486,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	 use,"...cover for for supplemental support, protection, reinforcement, or covering for a tendon (a homologous use, given that a basic function of dermis is to provide strength or elasticity). The ADM undergoe...",17959,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	 use,"...– As part of its advertising, a processer notes that its ground ADM is used as a facial filler (a homologous use). The ADM undergoes reduction in size to ensure that the particulate size is appropr...",18597,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	 use,...d minimally manipulated. • Example 1-C – The ADM is advertised as a tendon replacement (non-homologous use). The use is considered non-homologous because the required parameters for tendon repla...,19183,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...ellularized adipose is “as a protective layer of tissue protection” as a dura patch. This is a non-homologous use because while adipose provides a mechanism of protection, this is significantly different fro...",20093,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...tilage is used to fill or repair cartilage and osseous defects created due to injury or disease – a homologous use, given that a basic function of the graft is to facilitate healing of bone and Manufacturer's Obje...",20688,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...a basic function of the graft is to facilitate healing of bone and Manufacturer's Objecmve Intent Homologous Uses Basic Funcmon or Funcmons Original, Relevant Characterismcs Minimal Manipulamon Analysis, Char...",20815,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...er’s objective intent, a bone graft is used for anterior/posterior lumbar interbody fusion (homologous use), given that a basic function of bone is to act as a structural graft filling a bony void a...",21245,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...ckage insert, demineralized bone matrix (DBM) is used in bony voids or gaps in the skeletal system (homologous use), given that a basic function of demineralized bone is to facilitate the healing of the bone b...",21961,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	 use,"...ample 3-D – According to the manufacturer’s objective intent, DBM is used for cartilage repair (non-homologous use), given that the basic function of bone is to facilitate the healing of bone and sur...",22844,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	 use,"...for reviewing the recommended analysis, characterization or assessment for the particular homologous uses identified by the manufacturer’s objective intent, not all of the potential homologous uses id...",24890,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...r homologous uses identified by the manufacturer’s objective intent, not all of the potential homologous uses identified below. Finally, for some types of HCT/Ps that have a long-standing history o...",24987,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	 use,"...tive of the final product. (12) To ensure compliance with the FDA regulations related to homologous use and minimal manipulation, are there key practices that the TPG recommends all tissue processers p...",27173,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	 use,"...cessers develop a regulatory pathway document to delineate the manufacturer’s objective intent, homologous use, original relevant characteristics, and required analysis, characterization or assessment (alo...",27437,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...sponsible for reviewing the recommended analysis, characterization or assessment for the particular homologous uses identified by the manufacturer’s objective intent, not all of the potential homologous uses identi...",29866,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...ticular homologous uses identified by the manufacturer’s objective intent, not all of the potential homologous uses identified below. For some types of HCT/Ps that have a long-standing history of clinic...",29958,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...ost appropriate in these situations. Finally, for the references related to the basic function and homologous use, please refer to the AATB TPG’s Guidance Document Recommendation: Homologous Use of Human C...",30472,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	 use,"...function and homologous use, please refer to the AATB TPG’s Guidance Document Recommendation: Homologous Use of Human Cells, Tissues, and Cellular and Tissue-Based Products (October 2015). The chart b...",30558,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous use,"...tion not already included in that previous guidance recommendation. Tissue Category Basic Function Homologous Use Original, relevant characteristics (Structural) Relevant characteristics of the cells or tissues (N...",30822,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous use,".... J Physiol Endocrinol Metab., 2013 Dec; 305(12):E1427-35. Page 11 Tissue Category Basic Function Homologous Use Original, relevant characteristics (Structural) Relevant characteristics of the cells or tissues (N...",32378,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous use,"...E., ed. Adipose Tissue Biology. New York: Springer, 2012. Page 12 Tissue Category Basic Function Homologous Use Original, relevant characteristics (Structural) Relevant characteristics of the cells or tissues (N...",36314,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous use,"...tions. Singh R1, Gupta P, Kumar P, Kumar A, Chacharkar MP. Page 13 Tissue Category Basic Function Homologous Use Original, relevant characteristics (Structural) Relevant characteristics of the cells or tissues (N...",40417,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous use,"...apeutic potential for soft tissue repair and regeneration. Page 14 Tissue Category Basic Function Homologous Use Original, relevant characteristics (Structural) Relevant characteristics of the cells or tissues (N...",44875,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous use,"...ondral allografts. J Bone Joint Surg Am,85(11), 2111-2120. Page 15 Tissue Category Basic Function Homologous Use Original, relevant characteristics (Structural) Relevant characteristics of the cells or tissues (N...",48719,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous use,"...ok, Second Edition, Stephen C. Cowin, ed., CRC Press 2001. Page 16 Tissue Category Basic Function Homologous Use Original, relevant characteristics (Structural) Relevant characteristics of the cells or tissues (N...",50622,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous use,"...ok, Second Edition, Stephen C. Cowin, ed., CRC Press 2001 Page 17 Tissue Category Basic Function Homologous Use Original, relevant characteristics (Structural) Relevant characteristics of the cells or tissues (N...",54618,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous use,"...opic study. Forensic science international, 193(1), 72-78. Page 18 Tissue Category Basic Function Homologous Use Original, relevant characteristics (Structural) Relevant characteristics of the cells or tissues (N...",58638,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous use,"...Int Wound J. 2005 Jun; 2(2):161-5. PubMed PMID: 16722865. Page 19 Tissue Category Basic Function Homologous Use Original, relevant characteristics (Structural) Relevant characteristics of the cells or tissues (N...",61463,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous use,"...ober 2015. http://dx.doi.org/10.1016/j.jmbbrn.2014.10.011 Page 20 Tissue Category Basic Function Homologous Use Original, relevant characteristics (Structural) Relevant characteristics of the cells or tissues (N...",65347,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous use,"...extra-cellular matrix composition. Biorheology 46:227–237. Page 21 Tissue Category Basic Function Homologous Use Original, relevant characteristics (Structural) Relevant characteristics of the cells or tissues (N...",68492,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous use,"...ers/biology-of-the-skin/structure-and-function-of-the-skin Page 22 Tissue Category Basic Function Homologous Use Original, relevant characteristics (Structural) Relevant characteristics of the cells or tissues (N...",72366,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,...sThe product is minimally manipulated No No Page 1 Page 24 Does my product meet the definition of homologous use(21 CFR 12.71 3(c))? Is the product used in a repair of the recipient's cells or tissues and perform...,74185,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,...e basic function or functions in the recipient as in the donor?NoThe product meets thedefinition of homologous use Yes The product does NOT meet the definition of homologous useNoYes YesYesIs the product used in a...,74726,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,...oThe product meets thedefinition of homologous use Yes The product does NOT meet the definition of homologous useNoYes YesYesIs the product used in a reconstruction of the recipient's cells or tissues and performs...,74790,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,...he same basic function or functions in the recipient as in the donor?No NoDoes the product meet the Homologous Use criteria under 21 CFR 1271 Page 2 Page 25 Does my productmeet the definition ofautologous use (2...,75006,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...t minimally manipulated? (See Minimal Manipulation flow chart, page 1) Is the product intended for Homologous Use as reflected by labeling, promotion, or other indications of the manufacturer’s objective intent? (...",75910,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...reflected by labeling, promotion, or other indications of the manufacturer’s objective intent? (See Homologous Use Flow Chart, page 2)Yes Is the product combined with a drug or a device, (except for a sterilizing,...",76028,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,draft guidance ,"...such as in tissues with a sizable normal adipose constituency. I also agree with the example in the draft guidance of SVF as a more than minimally manipulated product. There is in addition common, risky non-homologo...",1101,FDA-2015-D-3719-0031,unknown,personal_narrative
guidance,homologous use,"...uidance of SVF as a more than minimally manipulated product. There is in addition common, risky non-homologous use of bone marrow, blood or placental/amniotic cells amongst hundreds of American clinics from coast t...",1208,FDA-2015-D-3719-0031,unknown,personal_narrative
guidance,guidance ,...Products; Rescheduling of Public Hearing; Request for Comments<br/><br/>1. Withdraw the four HCT/P guidance documents<br/>2. Get out of the business of regulating a person&#39;s use of his own body parts<br/>...,234,FDA-2015-D-3719-0070,unknown,technical_document
guidance,guidance ,Withdraw the four HCT/P guidance documents.<br/>Get out of the business of regulating a person&#39;s use of his own body parts.<br/>C...,24,FDA-2015-D-3719-0077,unknown,technical_document
guidance,guidance ,...e is old technology.<br/>Healing medicine is Modern Technology.<br/><br/>1. Withdraw the four HCT/P guidance documents<br/><br/>2. Get out of the business of regulating a person&#39;s use of his own body parts...,224,FDA-2015-D-3719-0075,unknown,personal_narrative
